Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location
,DOG,PIT BULL/MIX,TAN,Male,PUPPY,05/21/2024,K24-049029,SMA,A427542,07/05/2024,07/09/2024,4,STRAY,OVER THE COUNTER,EUTHANIZE,CON SEVERE,UNKNOWN,TREATABLE/REHAB,COUNTY,,,
,DOG,PIT BULL/MIX,BROWN/BR BRINDLE,Male,PUPPY,05/21/2024,K24-049026,SMA,A427539,07/05/2024,07/09/2024,4,STRAY,OVER THE COUNTER,EUTHANIZE,CON SEVERE,UNKNOWN,TREATABLE/REHAB,COUNTY,,,
,DOG,PIT BULL/MIX,TAN/BR BRINDLE,Female,PUPPY,05/21/2024,K24-049032,SMA,A427545,07/05/2024,07/09/2024,4,STRAY,OVER THE COUNTER,EUTHANIZE,CON SEVERE,UNKNOWN,TREATABLE/REHAB,COUNTY,,,
*MOUSE,DOG,CHIHUAHUA SH,TAN,Neutered,SMALL,08/10/2022,K24-048892,DA40,A427291,06/22/2024,08/31/2024,70,STRAY,OVER THE COUNTER,TRANSFER,MARIN HS,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,94949,"94949(38.0601134, -122.5341132)"
*DIAZ,DOG,GERM SHEPHERD/MIX,TAN/BLACK,Neutered,PUPPY,05/31/2024,K24-049108,DA44,A427734,07/12/2024,08/31/2024,50,OWNER SURRENDER,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.5407034, -122.805922)"
ROSIE,DOG,GERM SHEPHERD/ALASKAN HUSKY,TAN/BLACK,Female,LARGE,06/27/2023,K24-048482,DQ118,A425889,05/14/2024,05/14/2024,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407,"95407(38.4101254, -122.7276168)"
LOBA,DOG,SIBERIAN HUSKY/MIX,TRICOLOR,Spayed,LARGE,08/31/2021,K24-049604,DS84,A428756,08/30/2024,08/31/2024,1,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,COUNTY,95476,"95476(38.295408, -122.4710575)"
COCO,DOG,POODLE MIN,BROWN/GRAY,Male,SMALL,05/14/2020,K24-048456,DS82,A426357,05/11/2024,05/14/2024,3,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403,"95403(38.4729505, -122.7442054)"
LUNA,DOG,GERM SHEPHERD/MIX,SABLE/WHITE,Spayed,PUPPY,11/12/2023,K23-046839,DA38,A422251,11/17/2023,02/24/2024,99,STRAY,FIELD,ADOPTION,REFERRAL-F,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.457489, -122.644131)"
BRUNO,DOG,GREAT PYRENEES,WHITE,Male,X-LRG,11/23/2021,K24-048459,DS72,A423972,05/11/2024,05/14/2024,3,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95404,"95404(38.451809, -122.692988)"
,DOG,ENG SETTER,WHITE/BLACK,Female,MED,11/11/2022,K24-048455,TX,A426356,05/11/2024,05/11/2024,0,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)"
*CRICKET,DOG,BORDER COLLIE,TRICOLOR,Male,MED,01/24/2021,K23-046882,DA26,A422318,11/21/2023,,0,CONFISCATE,FLD_CRUEL,,,UNKNOWN,,COUNTY,COUNTY,95476,"95476(38.295408, -122.4710575)"
FLOR,DOG,POODLE MIN,WHITE,Spayed,SMALL,08/18/2010,K24-048468,DS91,A305570,05/11/2024,05/14/2024,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401,"95401(38.445212, -122.745766)"
DELANEY,DOG,PIT BULL/MIX,WHITE/TAN,Female,MED,08/29/2021,K24-049589,DS79,A428725,08/29/2024,08/31/2024,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,OUT OF COUNTY,96002,"96002(40.551035, -122.338708)"
KONIG,DOG,ROTTWEILER/MIX,BLACK/TAN,Male,MED,01/10/2024,K24-049069,DA19,A427614,07/09/2024,07/10/2024,1,CONFISCATE,FLD_CORONR,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,*ROHNERT PARK,94928,"94928(38.346171, -122.696473)"
,DOG,SCHNAUZER MIN/MIX,GRAY/WHITE,Male,SMALL,10/15/2022,K24-050065,DS72,A429686,10/15/2024,,0,STRAY,FLD_STRAY,,,UNKNOWN,,SANTA ROSA,,,
DUKE,DOG,AUST CATTLE DOG,BROWN/WHITE,Neutered,MED,03/26/2016,K21-037801,DS87,A402086,01/29/2021,01/30/2021,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,COUNTY,95404,"95404(38.451809, -122.692988)"
*SHAUN,DOG,GREAT PYRENEES,WHITE,Neutered,PUPPY,03/01/2024,K24-050056,DA04,A428145,10/15/2024,10/22/2024,7,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.43807, -122.71247)"
*MAMBA,DOG,BORDER COLLIE,TRICOLOR,Spayed,MED,12/06/2021,K23-046881,DI102,A422314,11/21/2023,,0,CONFISCATE,FLD_CRUEL,,,UNKNOWN,,COUNTY,COUNTY,95476,"95476(38.29188, -122.45728)"
QUENTIN,DOG,POMERANIAN,WHITE,Male,TOY,10/22/2018,K24-050123,DQ115,A429756,10/19/2024,10/22/2024,3,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401,"95401(38.45663, -122.72292)"
PINKY,DOG,SIBERIAN HUSKY,WHITE,Spayed,SMALL,05/08/2023,K24-048545,DA45,A426263,05/17/2024,,0,OWNER SURRENDER,OVER THE COUNTER,,,UNKNOWN,,COUNTY,,,
COOKIE,DOG,CHIHUAHUA SH/MIX,TRICOLOR,Spayed,SMALL,10/25/2012,K18-030392,DS96,A378522,10/25/2018,10/25/2018,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.45663, -122.72292)"
LOKI,DOG,SIBERIAN HUSKY,WHITE/BLACK,Neutered,LARGE,09/06/2021,K24-047829,DQ116,A425004,03/13/2024,03/19/2024,6,CONFISCATE,FLD_INVEST,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
CHICO,DOG,AMER BULLDOG/MIX,BLACK/WHITE,Neutered,LARGE,04/22/2021,K24-047894,DQ113,A413804,03/16/2024,03/19/2024,3,CONFISCATE,FLD_INVEST,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,COUNTY,COUNTY,95407,"95407(38.4127094, -122.7412153)"
CHOCOLATE,DOG,LABRADOR RETR/MIX,CHOCOLATE,Male,LARGE,09/11/2022,K24-047920,TRUCK,A425321,03/19/2024,03/19/2024,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,UNKNOWN,HEALTHY,COUNTY,COUNTY,95404,"95404(38.44511, -122.708)"
*LIZZO,DOG,PIT BULL/MIX,FAWN/WHITE,Spayed,MED,04/11/2020,K24-048154,DA40,A425790,04/11/2024,07/11/2024,91,STRAY,FLD_STRAY,TRANSFER,HSSC,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407,"95407(38.4101254, -122.7276168)"
*LULU,DOG,ROTTWEILER/MIX,RED/BLACK,Spayed,PUPPY,01/07/2024,K24-047607,DA05,A424474,02/13/2024,03/19/2024,35,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,*HEALDSBURG,95448,"95448(38.613965, -122.869825)"
ATHENA,DOG,SIBERIAN HUSKY,WHITE/BLACK,Spayed,LARGE,11/01/2021,K24-047830,DQ114,A425003,03/13/2024,03/19/2024,6,CONFISCATE,FLD_INVEST,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
ROUDIE,DOG,PIT BULL,BLACK/WHITE,Male,MED,06/07/2014,K15-014707,DS70,A323911,07/02/2015,07/07/2015,5,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95476,"95476(38.295408, -122.4710575)"
*GOUDA,DOG,BORDER COLLIE,BLACK/WHITE,Female,MED,08/30/2023,K23-046877,FOSTER,A422310,11/21/2023,,0,CONFISCATE,FLD_CRUEL,,,UNKNOWN,,COUNTY,COUNTY,95476,"95476(38.295408, -122.4710575)"
OSO,DOG,GREAT PYRENEES,WHITE,Neutered,X-LRG,03/20/2022,K24-047901,DA24,A425306,03/17/2024,03/20/2024,3,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,COUNTY,94952,"94952(38.237, -122.640695)"
KAIYA,DOG,AUST SHEPHERD,BROWN,Female,SMALL,12/12/2021,K24-047733,DS84,A424907,03/01/2024,03/12/2024,11,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,COUNTY,COUNTY,94952,"94952(38.237, -122.640695)"
FOCA,DOG,GREAT PYRENEES,WHITE,Female,X-LRG,03/20/2022,K24-047902,DA16,A425307,03/17/2024,03/20/2024,3,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,COUNTY,94952,"94952(38.237, -122.640695)"
OSO,DOG,BELG MALINOIS,TAN/BLACK,Male,PUPPY,12/22/2023,K24-047815,DA19,A424982,03/12/2024,03/20/2024,8,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
,DOG,GERM SHEPHERD,BLACK/TAN,Female,MED,09/01/2022,K24-047736,DS77,A424912,03/01/2024,03/21/2024,20,STRAY,FLD_STRAY,EUTHANIZE,BEH SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,
*CODY,DOG,CHIHUAHUA SH/MIX,TRICOLOR,Neutered,SMALL,11/23/2008,K24-047895,CS04,A230349,03/16/2024,03/18/2024,2,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)"
,DOG,AKBASH,WHITE,Female,MED,02/03/2024,K24-049318,DS72,A428167,08/03/2024,09/03/2024,31,STRAY,FLD_STRAY,EUTHANIZE,BEH SEVERE,UNKNOWN,HEALTHY,COUNTY,,,
TULAH,DOG,PIT BULL,WHITE/BLACK,Spayed,MED,07/16/2022,K24-047358,DA45,A423845,01/16/2024,04/30/2024,105,STRAY,FLD_STRAY,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.5407034, -122.805922)"
MAGGIE,DOG,BELG MALINOIS,TAN/BLACK,Female,LARGE,06/07/2023,K24-047814,DA18,A424981,03/12/2024,03/20/2024,8,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
THOR,DOG,KEESHOND/MIX,SILVER/BLACK,Male,MED,07/11/2021,K24-049077,DQ108,A427639,07/10/2024,07/11/2024,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403,"95403(38.4729505, -122.7442054)"
DON LOUIE,DOG,FRENCH BULLDOG,WHITE,Male,SMALL,03/09/2019,K24-047793,DS81,A425105,03/09/2024,03/21/2024,12,STRAY,OVER THE COUNTER,EUTHANIZE,CON SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)"
*RANGER,DOG,SIBERIAN HUSKY,BROWN/TAN,Neutered,SMALL,03/08/2024,K24-048413,DS49,A426265,05/08/2024,05/17/2024,9,CONFISCATE,FLD_EVICT,RTOS,SOVER THE COUNTER,UNKNOWN,PENDING,COUNTY,COUNTY,95472,"95472(38.39218, -122.837732)"
JAX,DOG,DUTCH SHEPHERD/MIX,BR BRINDLE,Male,MED,08/23/2023,K24-049535,DS65,A428619,08/23/2024,09/03/2024,11,QUARANTINE,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,COUNTY,COUNTY,95476,"95476(38.295408, -122.4710575)"
,DOG,PIT BULL,WHITE/BLACK,Male,MED,08/03/2020,K24-049157,DS82,A427842,07/18/2024,09/03/2024,47,STRAY,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNKNOWN,HEALTHY,SANTA ROSA,,,
ROUDIE,DOG,PIT BULL,BLACK/WHITE,Male,MED,06/07/2014,K16-017450,DS62,A323911,01/13/2016,01/20/2016,7,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95476,"95476(38.295408, -122.4710575)"
ROUDIE,DOG,PIT BULL,BLACK/WHITE,Male,MED,06/07/2014,K16-017944,DI098,A323911,02/29/2016,03/17/2016,17,STRAY,FIELD,EUTHANIZE,AGGRESSIVE,TREATABLE/REHAB,TREATABLE/MANAGEABLE,SANTA ROSA,COUNTY,95476,"95476(38.295408, -122.4710575)"
*SPARKY,DOG,CHIHUAHUA SH,BLACK,Neutered,TOY,12/11/2013,K15-017118,DS90,A330686,12/11/2015,12/12/2015,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.4101254, -122.7276168)"
BOONE,DOG,AUST CATTLE DOG,BROWN,Neutered,PUPPY,05/14/2023,K24-047461,DA02,A424107,01/28/2024,03/16/2024,48,STRAY,FLD_STRAY,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95476,"95476(38.288405, -122.464525)"
LUPITA,DOG,CAIRN TERRIER,TAN,Spayed,SMALL,10/23/2011,K24-050046,DQ112,A429656,10/12/2024,10/23/2024,11,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,*PETALUMA,94952,"94952(38.235426, -122.673515)"
JAKE,DOG,BORDER COLLIE,BLACK/WHITE,Male,MED,12/04/2009,K23-046870,TX,A422304,11/21/2023,02/20/2024,91,CONFISCATE,FLD_CRUEL,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,COUNTY,COUNTY,95476,"95476(38.29188, -122.45728)"
,DOG,TOY FOX TERRIER/MIX,WHITE,Female,SMALL,10/05/2023,K24-049979,DS59,A429507,10/05/2024,10/23/2024,18,STRAY,FLD_STRAY,EUTHANIZE,CON SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,
HAZEL,DOG,POODLE STND/MIX,BROWN,Female,LARGE,01/09/2019,K24-049075,DQ118,A427631,07/09/2024,07/11/2024,2,CONFISCATE,FIELD,TRANSFER,HSSC,UNKNOWN,TREATABLE/REHAB,SANTA ROSA,COUNTY,95407,"95407(38.4101254, -122.7276168)"
PANCHITA,DOG,PIT BULL,WHITE/BROWN,Female,MED,07/11/2021,K24-049086,DS91,A427671,07/11/2024,07/11/2024,0,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95407,"95407(38.4101254, -122.7276168)"
MARSHMELLOW,DOG,PARSON RUSS TER/MIX,WHITE,Female,TOY,02/01/2023,K24-048532,DS57,A426514,05/17/2024,07/11/2024,55,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403,"95403(38.4729505, -122.7442054)"
GAIA,DOG,LABRADOR RETR,YELLOW,Spayed,LARGE,02/25/2012,K19-032513,DS81,A388063,06/07/2019,06/07/2019,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,COUNTY,95401,"95401(38.445212, -122.745766)"
RILEY,DOG,CAIRN TERRIER/MIX,TAN,Neutered,SMALL,09/12/2022,K23-046045,MISSING,A420347,09/12/2023,10/27/2023,45,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.45663, -122.72292)"
ANGELA,DOG,MALTESE,WHITE,Spayed,TOY,04/04/2022,K23-046128,DA37,A420468,09/16/2023,10/26/2023,40,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.45663, -122.72292)"
PUGSLY,DOG,PUG,TAN/BLACK,Neutered,SMALL,02/21/2022,K24-047470,TX,A424117,01/29/2024,03/22/2024,53,STRAY,FLD_STRAY,ADOPTION,FINDER,HEALTHY,HEALTHY,SANTA ROSA,,95406,"95406(38.4586518, -122.7311058)"
GRACIE/PEACHES,DOG,YORKSHIRE TERR/MIX,BLACK/BROWN,Spayed,SMALL,05/14/2019,K24-047897,DS91,A393740,03/16/2024,03/22/2024,6,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,MEDICAL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)"
PEPPER/LOLA,DOG,SCHNAUZER MIN,GRAY/WHITE,Female,SMALL,03/16/2022,K24-047898,DS89,A425303,03/16/2024,03/22/2024,6,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,MEDICAL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)"
OSO,DOG,CHIHUAHUA SH,BLACK,Neutered,TOY,11/02/2011,K24-049051,TRUCK,A314863,07/06/2024,07/06/2024,0,STRAY,FLD_STRAY,RETURN TO OWNER,FLD_MCHIP,UNKNOWN,HEALTHY,COUNTY,COUNTY,95476,"95476(38.295408, -122.4710575)"
ROCKY,DOG,PIT BULL,BLACK/WHITE,Male,MED,12/19/2021,K24-047926,DS60,A425329,03/19/2024,03/22/2024,3,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)"
,DOG,CHIHUAHUA SH,BROWN/WHITE,Female,SMALL,07/23/2024,K24-050142,DS88,A429796,10/23/2024,,0,STRAY,FLD_STRAY,,,UNKNOWN,,SANTA ROSA,,,
DAISY,DOG,JACK,WHITE/APRICOT,Spayed,SMALL,07/11/2009,K24-049076,DQ108,A427638,07/10/2024,07/11/2024,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409,"95409(38.457489, -122.644131)"
WALTER,DOG,AUST SHEPHERD,RED,Neutered,MED,06/21/2019,K24-047784,DS58,A400085,03/08/2024,03/20/2024,12,CONFISCATE,FLD_HOSPTL,TRANSFER,PARADISE,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)"
*TIMBER,DOG,SIBERIAN HUSKY/MIX,BLACK/TAN,Neutered,SMALL,03/08/2024,K24-048409,DS49,A426261,05/08/2024,05/17/2024,9,CONFISCATE,FLD_EVICT,RTOS,SOVER THE COUNTER,UNKNOWN,PENDING,COUNTY,COUNTY,95472,"95472(38.39218, -122.837732)"
TRIP,DOG,PIT BULL,WHITE/BROWN,Male,LARGE,07/11/2019,K24-049085,DS54,A427670,07/11/2024,07/11/2024,0,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95407,"95407(38.4101254, -122.7276168)"
GRETCHEN,DOG,AUST SHEPHERD,BLUE MERLE,Spayed,MED,04/27/2014,K24-047785,DS58,A310939,03/08/2024,03/20/2024,12,CONFISCATE,FLD_HOSPTL,TRANSFER,PARADISE,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)"
LAYLA,DOG,GERM SHEPHERD,TAN/BLACK,Spayed,MED,05/08/2020,K24-048323,DQ109,A426158,04/30/2024,05/16/2024,16,QUARANTINE,FIELD,EUTHANIZE,AGGRESSIVE,UNKNOWN,UNTREATABLE,COUNTY,COUNTY,95403,"95403(38.4729505, -122.7442054)"
DEXTER,DOG,RAT TERRIER/MIX,WHITE/BLACK,Neutered,SMALL,07/19/2014,K23-044817,DS53,A417750,05/24/2023,05/26/2023,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401,"95401(38.445212, -122.745766)"
ESCOBAR,DOG,PIT BULL,GRAY/WHITE,Male,LARGE,04/16/2018,K24-047972,DQ107,A403737,03/22/2024,03/23/2024,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)"
*MICA,DOG,GERM SHEPHERD/MIX,BROWN,Spayed,PUPPY,12/20/2023,K24-047650,DA39,A424655,02/20/2024,03/23/2024,32,STRAY,OVER THE COUNTER,ADOPTION,OTH_MEDIA,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.3499842, -122.6928413)"
*NORMAN,DOG,GERM SHEPHERD/MIX,BLACK/BROWN,Neutered,PUPPY,09/27/2023,K24-047458,DA45,A424102,01/27/2024,03/23/2024,56,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)"
*JUNO,DOG,GERM SHEPHERD,BROWN/BLACK,Spayed,MED,12/05/2023,K24-047525,DA38,A424242,02/05/2024,03/23/2024,47,STRAY,FIELD,ADOPTION,OTH_MEDIA,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.4716444, -122.7398255)"
MONSTER,DOG,PIT BULL/MIX,BR BRINDLE,Male,MED,12/12/2022,K24-047937,DS68,A423128,03/19/2024,03/23/2024,4,CONFISCATE,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,COUNTY,COUNTY,95446,"95446(38.503755, -122.9935)"
CHICO,DOG,AMER BULLDOG/MIX,BLACK/WHITE,Neutered,LARGE,04/22/2021,K24-047919,DQ113,A413804,03/19/2024,03/23/2024,4,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNKNOWN,UNTREATABLE,COUNTY,,,
*COPPER,DOG,GERM SHEPHERD/MIX,BLACK/BR BRINDLE,Neutered,PUPPY,01/02/2024,K24-047657,DA39,A424663,02/20/2024,03/23/2024,32,STRAY,OVER THE COUNTER,ADOPTION,OTH_MEDIA,HEALTHY,HEALTHY,COUNTY,*PETALUMA,94954,"94954(38.263265, -122.641035)"
,DOG,AUST SHEPHERD/MIX,BLACK/WHITE,Unknown,PUPPY,10/24/2024,K24-050158,CS04,A429817,10/24/2024,,0,BORN HERE,MOM STRAY,,,UNKNOWN,,SANTA ROSA,,,
FRISCO JAZZ,DOG,AUST CATTLE DOG,BLACK/GRAY,Neutered,MED,03/12/2020,K24-048494,DS82,A426417,05/14/2024,05/16/2024,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,COUNTY,COUNTY,95476,"95476(38.295408, -122.4710575)"
SADIE,DOG,PIT BULL/MIX,WHITE/BLACK,Female,MED,02/20/2020,K20-037390,DS75,A401507,11/20/2020,11/21/2020,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,OUT OF COUNTY,94534,"94534(38.2349693, -122.0838115)"
GRIM GRIM,DOG,FRENCH BULLDOG,FAWN,Neutered,SMALL,09/06/2022,K24-049663,DA17,A428848,09/06/2024,10/24/2024,48,OWNER SURRENDER,FIELD,ADOPTION,WALKIN,UNKNOWN,PENDING,*SONOMA,*COTATI,94931,"94931(38.32345, -122.70821)"
FRENCHIE,DOG,FRENCH BULLDOG,TAN/WHITE,Spayed,SMALL,01/21/2024,K24-050035,DA16,A429632,10/11/2024,10/24/2024,13,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.51311, -122.75502)"
*SOPHIE,DOG,CHIHUAHUA SH/YORKSHIRE TERR,BROWN/BLACK,Spayed,SMALL,10/18/2022,K24-050136,DA04,A428670,10/22/2024,10/24/2024,2,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95476,"95476(38.29188, -122.45728)"
,DOG,AUST SHEPHERD/MIX,BLACK/WHITE,Unknown,PUPPY,10/24/2024,K24-050159,CS04,A429818,10/24/2024,,0,BORN HERE,MOM STRAY,,,UNKNOWN,,SANTA ROSA,,,
SADIE,DOG,PIT BULL/MIX,WHITE/BLACK,Female,MED,02/20/2020,K24-048070,DS67,A401507,04/03/2024,04/06/2024,3,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,OUT OF COUNTY,94534,"94534(38.2349693, -122.0838115)"
DIXIE,DOG,GERM SHEPHERD/MIX,BLACK/TAN,Spayed,PUPPY,07/20/2022,K23-044066,DA04,A415089,03/11/2023,03/16/2023,5,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4101254, -122.7276168)"
BELLA,DOG,AFFENPINSCHER,WHITE,Female,MED,10/24/2011,K24-050149,DQ118,A429808,10/23/2024,10/24/2024,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401,"95401(38.45663, -122.72292)"
DIXIE,DOG,GERM SHEPHERD/MIX,BLACK/TAN,Spayed,PUPPY,07/20/2022,K23-043653,DA04,A415089,01/20/2023,03/10/2023,49,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4729505, -122.7442054)"
BILLIE,DOG,GERM SHEPHERD/MIX,TAN,Spayed,MED,12/01/2018,K22-041540,DQ116,A411852,06/04/2022,06/11/2022,7,QUARANTINE,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.43807, -122.71247)"
